col1	col2
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
0.0	Solid_Normal_Tissue
